CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 26036-37_FRAME_ONLY_20260508
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\26036-37_FRAME_ONLY_20260508_FULL_FRONT.jpg
ViewType: front
PartCount: 61

Detected key roles:
TCP index: 41
BCP index: 36
ID Holder index: 0
OD Holder index: 0
ID Pot index: 34
OD Pot index: 0

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.500 | 4.469 | -3.845 | -3.188 | 0__SHCS_0_500_6_0_2-3
2 | 1 | bushing | 0.500 | 0.469 | 0.469 | 1.313 | 3.313 | -5.324 | 4.563 | 0__SHCS_0_3125_1_0-1
3 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | -2.813 | -5.943 | -0.750 | 0__STOP_PIN_1-4
4 | 1 | bushing | 0.500 | 0.469 | 0.469 | 1.313 | 3.313 | -5.324 | -4.563 | 0__SHCS_0_3125_1_0-4
5 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.375 | -4.469 | -2.318 | 3.188 | 0__TUBDOWEL_11-2
6 | 1 | bushing | 0.500 | 0.469 | 0.469 | 1.313 | 3.313 | -5.324 | -1.000 | 0__SHCS_0_3125_1_0-2
7 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.625 | -2.813 | -5.943 | 5.375 | 0__STOP_PIN_1-2
8 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.250 | 4.469 | 2.090 | 3.188 | 0__SHCS_0_500_1_75_2-1
9 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.250 | -4.469 | 2.090 | -3.188 | 0__SHCS_0_500_1_75_2-3
10 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.250 | 4.469 | 2.090 | -3.188 | 0__SHCS_0_500_1_75_2-2
11 | 1 | bushing | 0.500 | 0.469 | 0.469 | 1.313 | -3.313 | -5.324 | 1.000 | 0__SHCS_0_3125_1_0-3
12 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.500 | 4.469 | -3.845 | 3.188 | 0__SHCS_0_500_6_0_2-1
