CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 8418 2 cavity funnel with water and baffle change 7-3-13.sldasm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\8418 2 cavity funnel with water and baffle change 7-3-13.sldasm_FULL_RIGHT.jpg
ViewType: right
PartCount: 397

Detected key roles:
TCP index: 99
BCP index: 103
ID Holder index: 66
OD Holder index: 98
ID Pot index: 48
OD Pot index: 72

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 0 | top_clamp_plate | 0.250 | 0.750 | 1.875 | 3.000 | 8.553 | 9.062 | 0.000 | SL75X300-3-1/sl75_female-1
2 | 0 | a_cavity_plate | 0.500 | 0.375 | 0.375 | 1.125 | 8.335 | 8.500 | -1.125 | SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1
3 | 0 | b_core_plate | 0.500 | 0.375 | 0.375 | 1.125 | 8.335 | 10.510 | 1.125 | SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-2
4 | 0 | support_plate | 0.250 | 0.750 | 1.974 | 3.000 | 8.553 | 9.898 | 0.000 | SL75X300-3-1/sl75_male-1
5 | 0 | rail | 0.500 | 0.375 | 0.375 | 1.125 | 8.335 | 8.500 | 1.125 | SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-4
6 | 0 | bottom_clamp_plate | 0.500 | 0.375 | 0.375 | 1.125 | 8.335 | 10.510 | -1.125 | SL75X300-3-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3
7 | 0 | pin_plate | 0.550 | 1.969 | 4.961 | 13.964 | -1.457 | 16.975 | 0.000 | NO1352DHK-1/SRH25 NOZZLE(MRH25OG)-1
8 | 0 | ejector_plate | 0.250 | 0.551 | 0.866 | 1.604 | -5.323 | 23.484 | 16.209 | NO1352DHK-1/Y-H-30-2
9 | 0 | rail | 0.250 | 0.551 | 0.866 | 1.604 | -5.323 | 23.484 | 4.432 | NO1352DHK-1/Y-H-30-1
10 | 0 | hardware_other | 0.250 | 0.551 | 0.866 | 1.604 | -5.323 | 23.484 | 10.545 | NO1352DHK-1/Y-H-30-3
11 | 0 | hardware_other | 0.250 | 0.750 | 1.875 | 3.000 | 5.000 | 9.062 | -17.365 | SL75X300-2-1/sl75_female-1
12 | 0 | hardware_other | 0.250 | 0.750 | 1.974 | 3.000 | 5.000 | 9.898 | -17.365 | SL75X300-2-1/sl75_male-1
13 | 0 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 6.125 | 10.510 | -17.148 | SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-3
14 | 0 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 3.875 | 10.510 | -17.148 | SL75X300-2-1/Hexagon_socket_head_cap_screw_ANSI_ASME_B18.3_PROFSP006BF8H2-1
