CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 856800001_88_MB_03-05-2026.sldasm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\856800001_88_MB_03-05-2026.sldasm_FULL_FRONT.jpg
ViewType: front
PartCount: 51

IMPORTANT:
This is NOT a YOLO label file.
Use this image for manual LabelImg labeling if needed.

Detected key roles:
TCP index: 34
BCP index: 16
ID Holder index: 4
OD Holder index: 19
ID Pot index: 30
OD Pot index: 23

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 1 | pyropel | 0.990 | 0.250 | 6.755 | 14.375 | 8.125 | 0.000 | 3.813 | 856800001_88_MB_03-05-2026.sldasm-Part-1-1
2 | 0 | hardware_other | 0.550 | 0.625 | 0.625 | 15.100 | 4.687 | 0.447 | -4.512 | 856800001_88_MB_03-05-2026.sldasm-Part-4-1
3 | 1 | pyropel | 0.990 | 0.250 | 13.500 | 13.875 | 1.250 | 0.000 | 7.375 | 856800001_88_MB_03-05-2026.sldasm-Part-3-1
4 | 1 | id_holder | 0.990 | 6.875 | 8.000 | 13.875 | 4.000 | 0.000 | 3.812 | 856800001_88_MB_03-05-2026.sldasm-Part-5-1
5 | 0 | hardware_other | 0.250 | 0.250 | 5.850 | 8.000 | 4.000 | -7.063 | -2.640 | 856800001_88_MB_03-05-2026.sldasm-Part-2-1
6 | 0 | hardware_other | 0.550 | 0.438 | 0.438 | 3.125 | 6.000 | 1.375 | 4.438 | 856800001_88_MB_03-05-2026.sldasm-Part-6-1
7 | 0 | bushing | 0.550 | 1.240 | 1.240 | 8.250 | 1.375 | -6.000 | 3.125 | 856800001_88_MB_03-05-2026.sldasm-Part-7-2
8 | 0 | bushing | 0.550 | 0.438 | 0.438 | 3.125 | 2.000 | 1.375 | 4.438 | 856800001_88_MB_03-05-2026.sldasm-Part-6-3
9 | 0 | hardware_other | 0.550 | 1.240 | 1.240 | 8.250 | 1.500 | 6.000 | 3.125 | 856800001_88_MB_03-05-2026.sldasm-Part-7-3
10 | 0 | hardware_other | 0.250 | 1.000 | 1.281 | 1.625 | 4.314 | 0.000 | -4.545 | 856800001_88_MB_03-05-2026.sldasm-Part-8-1
11 | 0 | hardware_other | 0.550 | 0.438 | 0.438 | 3.125 | 6.000 | -1.375 | 4.438 | 856800001_88_MB_03-05-2026.sldasm-Part-6-4
12 | 0 | hardware_other | 0.550 | 1.240 | 1.240 | 8.250 | 6.625 | 6.000 | 3.125 | 856800001_88_MB_03-05-2026.sldasm-Part-7-4
13 | 0 | hardware_other | 0.550 | 0.438 | 0.438 | 3.125 | 2.000 | -1.375 | 4.438 | 856800001_88_MB_03-05-2026.sldasm-Part-6-2
14 | 0 | hardware_other | 0.550 | 1.240 | 1.240 | 8.250 | 6.625 | -6.000 | 3.125 | 856800001_88_MB_03-05-2026.sldasm-Part-7-1
15 | 1 | pyropel | 0.990 | 0.250 | 6.755 | 8.000 | 4.000 | 7.063 | 3.813 | 856800001_88_MB_03-05-2026.sldasm-Part-12-1
16 | 1 | bottom_clamp_plate | 0.990 | 1.375 | 15.875 | 18.000 | 3.000 | 0.000 | -6.563 | 856800001_88_MB_03-05-2026.sldasm-Part-9-1
17 | 0 | hardware_other | 0.250 | 0.250 | 5.690 | 6.755 | -2.905 | 2.875 | 3.813 | 856800001_88_MB_03-05-2026.sldasm-Part-11-1
18 | 0 | hardware_other | 0.250 | 0.250 | 4.188 | 5.850 | -0.125 | -5.094 | -2.640 | 856800001_88_MB_03-05-2026.sldasm-Part-10-1
