CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: 857400126-C18628.sldasm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\857400126-C18628.sldasm_FULL_BACK.jpg
ViewType: back
PartCount: 24

IMPORTANT:
This is NOT a YOLO label file.
Use this image for manual LabelImg labeling if needed.

Detected key roles:
TCP index: 11
BCP index: 12
ID Holder index: 16
OD Holder index: 13
ID Pot index: 3
OD Pot index: 15

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 0 | hardware_other | 0.250 | 1.875 | 2.500 | 4.750 | -1.678 | -4.227 | -0.225 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-3-1
2 | 1 | pyropel | 0.990 | 0.250 | 11.688 | 14.813 | 0.000 | -7.063 | -3.725 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-4-1
3 | 1 | id_pot | 0.990 | 5.000 | 6.500 | 6.938 | 0.000 | -3.469 | -7.100 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-1-1
4 | 1 | leader_pin | 0.550 | 0.625 | 0.625 | 16.219 | -0.672 | 6.341 | -0.845 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-6-1
5 | 0 | hardware_other | 0.250 | 0.875 | 2.616 | 3.668 | 3.425 | 4.644 | -4.163 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-7-1
6 | 1 | leader_pin | 0.550 | 1.240 | 1.240 | 9.250 | 6.438 | -2.313 | 0.900 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-5-4
7 | 1 | leader_pin | 0.550 | 1.240 | 1.240 | 9.250 | 6.438 | -2.313 | -3.350 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-5-2
8 | 1 | leader_pin | 0.550 | 1.240 | 1.240 | 9.250 | -6.438 | -2.313 | -3.475 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-5-3
9 | 1 | leader_pin | 0.550 | 1.240 | 1.240 | 9.250 | -6.438 | -2.313 | 0.900 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-5-1
10 | 0 | hardware_other | 0.250 | 1.000 | 2.750 | 3.938 | -0.188 | 5.441 | -1.533 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-10-1
11 | 1 | top_clamp_plate | 0.990 | 1.375 | 15.875 | 20.000 | 0.000 | -7.875 | -0.100 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-8-1
12 | 1 | bottom_clamp_plate | 0.990 | 1.375 | 15.875 | 20.000 | 0.000 | 8.372 | -0.100 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-11-1
13 | 1 | od_holder | 0.990 | 6.750 | 7.415 | 14.875 | 0.000 | 3.734 | -1.225 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-12-1
14 | 1 | pyropel | 0.990 | 0.250 | 11.750 | 14.875 | 0.000 | 7.560 | -3.725 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-15-1
15 | 1 | od_pot | 0.990 | 5.000 | 6.500 | 7.408 | 0.000 | 3.731 | -7.100 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-13-1
16 | 1 | id_holder | 0.990 | 6.750 | 6.938 | 14.875 | 0.000 | -3.469 | -1.225 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-16-1
17 | 0 | hardware_other | 0.250 | 1.000 | 1.281 | 1.625 | -0.188 | 6.373 | -1.219 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-17-1
18 | 1 | bushing | 0.500 | 0.813 | 0.813 | 1.000 | 6.938 | 6.341 | -0.845 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-33-1
19 | 1 | bushing | 0.500 | 0.813 | 0.813 | 1.000 | -6.938 | 6.341 | -0.845 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-33-2
20 | 0 | hardware_other | 0.250 | 2.247 | 2.247 | 2.255 | -5.188 | 6.807 | -6.475 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-34-1
21 | 0 | hardware_other | 0.250 | 1.875 | 2.500 | 4.750 | 3.134 | 4.108 | -0.225 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-41-1
22 | 1 | bushing | 0.500 | 0.947 | 1.000 | 2.875 | 3.058 | 3.977 | -0.155 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-42-1
23 | 1 | bushing | 0.500 | 0.947 | 1.000 | 2.875 | -1.603 | -4.096 | -0.155 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-43-1
24 | 0 | hardware_other | 0.250 | 0.875 | 2.616 | 3.668 | -1.997 | -4.747 | -4.163 | 857400126_BASE_FINAL_12-23-2025.sldasm-Part-44-1
