CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: Dynacast-2223488-C18595.sldasm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\Dynacast-2223488-C18595.sldasm_FULL_BACK_ISO.jpg
ViewType: backiso
PartCount: 182

Detected key roles:
TCP index: 41
BCP index: 42
ID Holder index: 0
OD Holder index: 0
ID Pot index: 0
OD Pot index: 0

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 0 | hardware_other | 0.250 | 1.000 | 1.350 | 1.500 | 0.000 | 11.740 | -0.048 | GL150X250_ASM-1-1/GL150X250_MALE-1
2 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -0.875 | 11.300 | -0.596 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-0875-1
3 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 0.875 | 11.740 | -0.377 | GL150X250_ASM-1-1/GL150X250_LH-1
4 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -0.875 | 11.740 | -0.377 | GL150X250_ASM-1-1/GL150X250_RH-1
5 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 0.875 | 12.180 | -0.596 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-0875-2
6 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -0.875 | 12.180 | -0.596 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-0875-3
7 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 0.875 | 11.300 | -0.596 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-0875-4
8 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 0.000 | 11.300 | 0.183 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-1500-1
9 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 0.000 | 12.180 | 0.183 | GL150X250_ASM-1-1/UNF-SHCS-1-4-X-1500-2
10 | 0 | hardware_other | 0.250 | 1.000 | 1.350 | 1.500 | -16.740 | 0.000 | -0.048 | GL150X250_ASM-3-1/GL150X250_MALE-1
11 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -17.180 | 0.875 | -0.596 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-0875-3
12 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -16.740 | -0.875 | -0.377 | GL150X250_ASM-3-1/GL150X250_RH-1
13 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -16.300 | -0.875 | -0.596 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-0875-2
14 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -16.740 | 0.875 | -0.377 | GL150X250_ASM-3-1/GL150X250_LH-1
15 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -17.180 | -0.875 | -0.596 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-0875-1
16 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | -16.300 | 0.875 | -0.596 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-0875-4
17 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | -17.180 | 0.000 | 0.183 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-1500-1
18 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | -16.300 | 0.000 | 0.183 | GL150X250_ASM-3-1/UNF-SHCS-1-4-X-1500-2
19 | 0 | hardware_other | 0.250 | 1.000 | 1.350 | 1.500 | 16.740 | 0.000 | -0.048 | GL150X250_ASM-1/GL150X250_MALE-1
20 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 16.740 | -0.875 | -0.377 | GL150X250_ASM-1/GL150X250_LH-1
21 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 17.180 | 0.875 | -0.596 | GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-3
22 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 16.300 | -0.875 | -0.596 | GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-1
23 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 16.740 | 0.875 | -0.377 | GL150X250_ASM-1/GL150X250_RH-1
24 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 16.300 | 0.875 | -0.596 | GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-2
25 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 17.180 | 0.000 | 0.183 | GL150X250_ASM-1/UNF-SHCS-1-4-X-1500-1
26 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 17.180 | -0.875 | -0.596 | GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-4
27 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 16.300 | 0.000 | 0.183 | GL150X250_ASM-1/UNF-SHCS-1-4-X-1500-2
28 | 1 | bushing | 0.500 | 2.677 | 2.677 | 4.875 | -15.000 | 10.250 | -2.439 | LBB_2ID-X-4_7-8_DME-1
29 | 0 | hardware_other | 0.250 | 1.000 | 1.350 | 1.500 | 4.000 | -11.740 | -0.048 | GL150X250_ASM-2-1/GL150X250_MALE-1
30 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 4.875 | -11.740 | -0.377 | GL150X250_ASM-2-1/GL150X250_RH-1
31 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 4.875 | -11.300 | -0.596 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-0875-1
32 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 3.125 | -11.740 | -0.377 | GL150X250_ASM-2-1/GL150X250_LH-1
33 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 3.125 | -12.180 | -0.596 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-0875-2
34 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 3.125 | -11.300 | -0.596 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-0875-4
35 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 4.000 | -12.180 | 0.183 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-1500-1
36 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.125 | 4.875 | -12.180 | -0.596 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-0875-3
37 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.750 | 4.000 | -11.300 | 0.183 | GL150X250_ASM-2-1/UNF-SHCS-1-4-X-1500-2
