CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: Mold_frame_export-M6445-Zappa_Shim_mold-20260401
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\Mold_frame_export-M6445-Zappa_Shim_mold-20260401_FULL_LEFT.jpg
ViewType: left
PartCount: 123

Detected key roles:
TCP index: 16
BCP index: 12
ID Holder index: 0
OD Holder index: 0
ID Pot index: 0
OD Pot index: 0

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | -4.000 | -7.500 | -4.500 | FHCS_312-18_750L_1_2-14
2 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 4.000 | -7.500 | 4.500 | FHCS_312-18_750L_1_2-8
3 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | -4.000 | -7.500 | 4.500 | FHCS_312-18_750L_1_2-13
4 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 6.873 | -7.500 | -9.048 | FHCS_312-18_750L_1_2-7
5 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 4.000 | -7.500 | -4.500 | FHCS_312-18_750L_1_2-9
6 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 0.000 | -7.500 | 2.375 | FHCS_312-18_750L_1_2-12
7 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 0.000 | -7.500 | -9.048 | FHCS_312-18_750L_1_2-10
8 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | -6.873 | -7.500 | -9.048 | FHCS_312-18_750L_1_2-5
9 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 6.873 | -7.500 | 0.000 | FHCS_312-18_750L_1_2-6
10 | 1 | bushing | 0.500 | 0.600 | 0.600 | 0.750 | 0.000 | -7.500 | -2.375 | FHCS_312-18_750L_1_2-11
11 | 1 | ejector_plate | 0.920 | 3.875 | 15.875 | 20.000 | 0.000 | -5.687 | 0.000 | 0_CLP_PLATE_MH001_1-1
12 | 1 | b_core_plate | 0.920 | 1.875 | 15.875 | 20.000 | 0.000 | -2.813 | 0.000 | 0_INT_PLATE_MH001_1-1
13 | 1 | rail | 0.880 | 1.000 | 1.000 | 5.564 | 2.875 | -2.681 | 9.250 | DME-EX41_M6-RP_1-1
14 | 1 | rail | 0.880 | 1.000 | 1.000 | 5.564 | 2.875 | -2.681 | -9.250 | DME-EX41_M6-RP_1-3
15 | 1 | bottom_clamp_plate | 0.920 | 1.022 | 12.000 | 20.000 | 0.000 | -5.952 | 0.000 | 0_EJBASE_PLATE_MH001_1_2-1
16 | 1 | top_clamp_plate | 0.920 | 1.875 | 15.875 | 20.000 | 0.000 | 1.038 | 0.000 | 0_CAV_PLATE_FH001_1-1
17 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.375 | 6.969 | -2.813 | -7.000 | 0_TUBDOWEL11_1-1
18 | 1 | support_plate | 0.920 | 0.500 | 12.000 | 20.000 | 0.000 | -5.213 | 0.000 | 0_EJRET_PLATE_MH001_1_2-1
19 | 1 | a_cavity_plate | 0.920 | 1.975 | 15.875 | 20.000 | 0.000 | -0.888 | 0.000 | 0_CORE_PLATE_MH001_1-1
20 | 1 | rail | 0.880 | 0.750 | 0.750 | 2.375 | -6.969 | -2.813 | 7.000 | 0_TUBDOWEL11_1-2
21 | 1 | rail | 0.880 | 1.000 | 1.000 | 5.564 | -2.875 | -2.681 | 9.125 | DME-EX41_M6-RP_1-2
22 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | 5.438 | -5.701 | 9.375 | 0_SHCS_0_375_1_00_1-1
23 | 1 | rail | 0.880 | 1.000 | 1.000 | 5.564 | -2.875 | -2.681 | -9.250 | DME-EX41_M6-RP_1-4
24 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | -6.969 | -4.465 | -1.000 | 0_SHCS_0_500_5_75_1-4
25 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | -6.563 | -0.938 | -8.563 | 0_5752_1-4
26 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | -5.438 | -5.701 | 9.375 | 0_SHCS_0_375_1_00_1-2
27 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | -5.438 | -5.701 | -3.125 | 0_SHCS_0_375_1_00_1-6
28 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | 6.969 | -4.465 | -7.000 | 0_SHCS_0_500_5_75_1-5
29 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | -6.969 | -4.465 | 7.000 | 0_SHCS_0_500_5_75_1-2
30 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | 6.563 | -0.938 | 8.563 | 0_5752_1-1
31 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | 6.563 | -0.938 | -8.563 | 0_5752_1-3
32 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | 6.969 | -4.465 | 7.000 | 0_SHCS_0_500_5_75_1-1
33 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | 6.969 | -4.465 | 1.000 | 0_SHCS_0_500_5_75_1-3
34 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | -6.563 | -0.938 | 8.375 | 0_5752_1-2
35 | 1 | rail | 0.880 | 0.750 | 0.750 | 6.250 | -6.969 | -4.465 | -7.000 | 0_SHCS_0_500_5_75_1-6
36 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | 5.438 | -5.701 | 3.125 | 0_SHCS_0_375_1_00_1-3
37 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | -5.438 | -5.701 | 3.500 | 0_SHCS_0_375_1_00_1-4
38 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | 0.750 | -5.701 | -4.250 | 0_SHCS_0_375_1_00_1-7
39 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | 5.438 | -5.701 | -3.500 | 0_SHCS_0_375_1_00_1-5
40 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | -0.750 | -5.701 | 4.250 | 0_SHCS_0_375_1_00_1-8
41 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 0.000 | -6.825 | -7.550 | 0_STOP_PIN1_1-6
42 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | 5.438 | -5.701 | -9.375 | 0_SHCS_0_375_1_00_1-9
43 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 5.400 | -6.825 | 0.000 | 0_STOP_PIN1_1-14
44 | 1 | rail | 0.880 | 1.490 | 1.490 | 4.250 | 6.563 | -0.150 | 8.562 | 0_5303GL_1-1
45 | 1 | rail | 0.880 | 1.490 | 1.490 | 4.250 | 6.563 | -0.150 | -8.563 | 0_5303GL_1-3
46 | 1 | rail | 0.880 | 1.311 | 1.312 | 3.699 | -2.875 | -3.196 | 9.125 | DME_SMD6014_1-1
47 | 1 | rail | 0.880 | 1.311 | 1.312 | 3.699 | 2.875 | -3.196 | -9.250 | DME_SMD6014_1-3
48 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 5.400 | -6.825 | -5.550 | 0_STOP_PIN1_1-9
49 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | -4.500 | -6.825 | 9.250 | 0_STOP_PIN1_1-2
50 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | -4.500 | -6.825 | -9.250 | 0_STOP_PIN1_1-4
51 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 5.400 | -6.825 | 5.550 | 0_STOP_PIN1_1-7
52 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 4.500 | -6.825 | 9.250 | 0_STOP_PIN1_1-1
53 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 0.000 | -6.825 | -2.050 | 0_STOP_PIN1_1-11
54 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 0.000 | -6.825 | 2.050 | 0_STOP_PIN1_1-12
55 | 1 | rail | 0.880 | 1.240 | 1.240 | 4.750 | -4.500 | -4.262 | 7.800 | 0_5204GL_1-3
56 | 1 | rail | 0.880 | 1.240 | 1.240 | 4.750 | -4.500 | -4.262 | -8.000 | 0_5204GL_1-4
57 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.375 | -5.438 | -5.701 | -9.375 | 0_SHCS_0_375_1_00_1-10
58 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 4.500 | -6.825 | -9.250 | 0_STOP_PIN1_1-3
59 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | 0.000 | -6.825 | 7.550 | 0_STOP_PIN1_1-5
60 | 1 | rail | 0.880 | 1.240 | 1.240 | 4.750 | 4.500 | -4.262 | 8.000 | 0_5204GL_1-2
61 | 1 | pyropel | 0.700 | 0.250 | 15.875 | 20.000 | 0.000 | -7.750 | 0.000 | 0_INSULATION3_1-1
62 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | -5.400 | -6.825 | 5.550 | 0_STOP_PIN1_1-8
63 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | -5.400 | -6.825 | -5.550 | 0_STOP_PIN1_1-10
64 | 0 | hardware_other | 0.250 | 0.620 | 0.620 | 0.725 | -5.400 | -6.825 | 0.000 | 0_STOP_PIN1_1-13
65 | 1 | rail | 0.880 | 1.240 | 1.240 | 4.750 | 4.500 | -4.262 | -8.000 | 0_5204GL_1-1
66 | 1 | rail | 0.880 | 1.490 | 1.490 | 4.250 | -6.562 | -0.150 | 8.375 | 0_5303GL_1-2
67 | 1 | rail | 0.880 | 1.490 | 1.490 | 4.250 | -6.562 | -0.150 | -8.563 | 0_5303GL_1-4
68 | 1 | rail | 0.880 | 1.311 | 1.312 | 3.699 | 2.875 | -3.196 | 9.250 | DME_SMD6014_1-2
69 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | 6.700 | 1.038 | -4.700 | 0_5752_1-7
70 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | -6.700 | 1.038 | -4.700 | 0_5752_1-8
71 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | 6.700 | 1.038 | 4.700 | 0_5752_1-5
72 | 1 | rail | 0.880 | 1.311 | 1.312 | 3.699 | -2.875 | -3.196 | -9.250 | DME_SMD6014_1-4
73 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.500 | -5.249 | -3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-3
74 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 4.100 | -5.249 | -3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-11
75 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 0.875 | -5.249 | -5.950 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-1
76 | 0 | hardware_other | 0.250 | 1.552 | 1.552 | 1.750 | -4.500 | -5.708 | 7.800 | 0_GBE_1000_1-3
77 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | 3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-8
78 | 0 | hardware_other | 0.250 | 1.552 | 1.552 | 1.750 | 4.500 | -5.708 | -8.000 | 0_GBE_1000_1-1
79 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | 0.000 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-6
80 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.500 | -5.249 | 0.000 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-7
81 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | 0.000 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-9
82 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 1.500 | -5.249 | 3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-2
83 | 0 | hardware_other | 0.250 | 1.802 | 1.802 | 1.875 | -6.700 | 1.038 | 4.600 | 0_5752_1-6
84 | 0 | hardware_other | 0.250 | 1.552 | 1.552 | 1.750 | 4.500 | -5.708 | 8.000 | 0_GBE_1000_1-4
85 | 0 | hardware_other | 0.250 | 1.552 | 1.552 | 1.750 | -4.500 | -5.708 | -8.000 | 0_GBE_1000_1-2
86 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | -3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-4
87 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | 3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-5
88 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -1.500 | -5.249 | -3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-10
89 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 4.100 | -5.249 | 0.000 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-12
90 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 4.100 | -5.249 | 3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-13
91 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 3.500 | -5.249 | -6.500 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-19
92 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | 3.000 | -5.249 | 6.500 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-18
93 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -4.100 | -5.249 | -3.150 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-14
94 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -3.500 | -5.249 | 6.500 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-17
95 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -0.875 | -5.249 | 5.950 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-21
96 | 1 | support_plate | 0.820 | 1.500 | 1.500 | 3.002 | -3.000 | -5.249 | -6.500 | CMS-SUPPORT_PILLAR-1_5D-3_0L_1_2-20
97 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | 0.875 | -6.782 | -5.950 | 0_SHCS_0_375_1_25_1-1
98 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | -1.500 | -6.782 | -3.150 | 0_SHCS_0_375_1_25_1-4
99 | 1 | rail | 0.880 | 0.563 | 0.563 | 1.625 | 4.100 | -6.782 | 0.000 | 0_SHCS_0_375_1_25_1-12
