CMS AI FULL ASSEMBLY VIEW NOTES
================================
Job: t001015_asm
Image: C:\CMS_AI\datasets\cms_molds\label_queue\images\t001015_asm_FULL_FRONT.jpg
ViewType: front
PartCount: 261

Detected key roles:
TCP index: 136
BCP index: 127
ID Holder index: 0
OD Holder index: 0
ID Pot index: 115
OD Pot index: 0

Parts:
Index | Use | Class | Confidence | T | W | L | CenterX | CenterY | CenterZ | Component
1 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -3.379 | 8.437 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-2/UNC-SHCS-1-2-X-1000-2
2 | 1 | rail | 0.880 | 0.750 | 1.370 | 3.370 | -4.379 | 8.875 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-2/PROGRESSIVE-SAFTEY-STRAP-1
3 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -5.379 | 8.437 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-2/UNC-SHCS-1-2-X-1000-1
4 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | 0.750 | 2.375 | -6.939 | WP_375_5-000-3
5 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 2.250 | -2.724 | -4.056 | -0.423 | UNC-SHCS-1-4-X-2000_-2
6 | 1 | bushing | 0.500 | 0.359 | 0.359 | 0.625 | 5.547 | -1.870 | -2.216 | UNF-FHCS-M-10-X-0625-3
7 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | -1.000 | -2.250 | 6.927 | WP_375_5-000-1
8 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | 1.710 | 0.500 | -6.927 | WP_375_5-000-4
9 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | -1.000 | 0.000 | 6.927 | WP_375_5-000-2
10 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | 0.750 | -1.375 | 6.927 | WP_375_5-000-6
11 | 1 | rail | 0.880 | 0.675 | 0.675 | 5.000 | 3.500 | 0.500 | 6.927 | WP_375_5-000-5
12 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 2.250 | -2.724 | -2.330 | -0.574 | UNC-SHCS-1-4-X-2000_-1
13 | 1 | bushing | 0.500 | 0.359 | 0.359 | 0.625 | 5.547 | -5.709 | 0.000 | UNF-FHCS-M-10-X-0625-2
14 | 1 | bushing | 0.500 | 0.188 | 0.188 | 0.500 | -2.000 | -4.150 | 0.000 | DOWEL_PIN_D0188_L0500-1
15 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 2.250 | -2.724 | -3.062 | 0.996 | UNC-SHCS-1-4-X-2000_-3
16 | 1 | bushing | 0.500 | 0.359 | 0.359 | 0.625 | 5.547 | -1.870 | 2.216 | UNF-FHCS-M-10-X-0625-1
17 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | 1.000 | 8.437 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-1/UNC-SHCS-1-2-X-1000-2
18 | 1 | rail | 0.880 | 0.750 | 1.370 | 3.370 | 0.000 | 8.875 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-1/PROGRESSIVE-SAFTEY-STRAP-1
19 | 1 | bushing | 0.500 | 0.750 | 0.750 | 1.500 | -1.000 | 8.437 | -5.875 | PROGRESSIVE-SAFETY-STRAP_ASM-1/UNC-SHCS-1-2-X-1000-1
20 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.875 | -2.984 | 0.438 | 8.283 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/UNC-SHCS-1-4-X-1625-1
21 | 1 | rail | 0.880 | 0.500 | 0.750 | 5.675 | -4.015 | 2.905 | 8.125 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1
22 | 1 | bushing | 0.500 | 0.188 | 0.188 | 0.500 | -6.102 | 2.905 | 7.750 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/DOWEL_PIN_D0188_L0500-1
23 | 1 | bushing | 0.500 | 0.375 | 0.375 | 1.250 | -5.727 | 1.595 | 7.845 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/UNC-SHCS-1-4-X-1000-4
24 | 1 | bushing | 0.500 | 0.332 | 0.334 | 1.003 | -3.360 | 2.750 | 7.047 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_250X1-SPRING-2
25 | 0 | hardware_other | 0.250 | 0.250 | 0.900 | 3.000 | -3.734 | 2.250 | 7.300 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-GP-1
26 | 1 | bushing | 0.500 | 0.332 | 0.334 | 1.003 | -3.359 | 1.750 | 7.047 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_250X1-SPRING-1
27 | 0 | hardware_other | 0.250 | 0.499 | 0.870 | 1.900 | -3.360 | 2.250 | 7.482 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-WB-1
28 | 1 | rail | 0.880 | 0.750 | 0.900 | 3.000 | -3.234 | 2.250 | 7.300 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1
29 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.375 | -3.162 | 3.470 | 7.300 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/UNC-LHCS-1-4-X-1250-1
30 | 1 | leader_pin | 0.550 | 0.375 | 0.375 | 1.375 | -3.162 | 1.030 | 7.300 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/UNC-LHCS-1-4-X-1250-2
31 | 1 | leader_pin | 0.550 | 0.125 | 0.125 | 0.625 | -3.297 | 2.250 | 7.427 | T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/DOWEL_PIN_D0125_L0625-1
