Index,Component,Role,Confidence,Quote,Thickness,Width,Length,CenterX,CenterY,CenterZ,Reason
1,T001015_MOLDBASE_ASM-1/T001015_A-PLATE-1,a_plate,HIGH,True,5.875,15.500,17.000,2.941,0.000,0.000,"Strong shop token A-PLATE, confirmed as a full-footprint mold plate."
2,T001015_MOLDBASE_ASM-1/T001015_B-PLATE-1,b_plate,HIGH,True,3.875,15.500,17.000,-1.942,0.000,0.000,"Strong shop token B-PLATE, confirmed as a full-footprint mold plate."
3,T001015_MOLDBASE_ASM-1/T001015_SC-BACKUP-PLATE-1,sc_backup_plate,HIGH,True,2.000,15.500,17.000,-5.879,0.000,0.000,Strong shop token SC-BACKUP-PLATE in a special standard mold-base stack.
4,T001015_MOLDBASE_ASM-1/T001015_CLAMP-PLATE-1,bottom_clamp_plate,HIGH,True,1.375,15.500,17.000,-12.067,0.000,0.000,Strong shop token CLAMP-PLATE on the ejector/clamp side.
5,T001015_MOLDBASE_ASM-1/T001015_SC-RETAINER-PLATE-1,sc_retainer_plate,HIGH,True,1.000,15.500,17.000,-4.379,0.000,0.000,Strong shop token SC-RETAINER-PLATE in a special standard mold-base stack.
6,T001015_MOLDBASE_ASM-1/T001015_EJ-BACKUP-PLATE-1,ejector_retainer_plate,HIGH,True,1.125,11.500,15.500,-10.629,0.000,0.000,Strong shop token EJ-BACKUP-PLATE; backing/retainer plate in ejector stack.
7,T001015_MOLDBASE_ASM-1/T001015_RAIL-BOTTOM-1,rail,HIGH,True,2.625,4.500,15.500,-9.129,-7.188,0.000,Strong shop token RAIL; long side rail/support block.
8,T001015_MOLDBASE_ASM-1/T001015_RAIL-TOP-1,rail,HIGH,True,2.625,4.500,15.500,-9.129,7.188,0.000,Strong shop token RAIL; long side rail/support block.
9,T001015_MOLDBASE_ASM-1/T001015_EJ-RET-PLATE-1,ejector_plate,HIGH,True,0.750,11.500,15.500,-9.692,0.000,0.000,Strong shop token EJ-RET-PLATE; user standard treats this as the ejector plate.
10,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-1,leader_pin,HIGH,False,1.740,1.740,9.750,-2.004,6.000,-5.500,Primary leader-pin set: center position matches shoulder bushings that sit on the B plate.
11,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-2,leader_pin,HIGH,False,1.740,1.740,9.750,-2.004,-6.000,-5.500,Primary leader-pin set: center position matches shoulder bushings that sit on the B plate.
12,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-4,leader_pin,HIGH,False,1.740,1.740,9.750,-2.004,6.125,5.750,Primary leader-pin set: center position matches shoulder bushings that sit on the B plate.
13,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-3,leader_pin,HIGH,False,1.740,1.740,9.750,-2.004,-6.000,5.500,Primary leader-pin set: center position matches shoulder bushings that sit on the B plate.
14,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-4,leader_pin_bushing,HIGH,False,2.177,2.177,5.875,2.941,6.125,5.750,Strong shop token LBB; leader pin bushing.
