Index,Component,Thickness,Width,Length,CorrectRole,Source
1,2223605_MOLDBASE_ASM-1/2223605_B-PLATE-1,5.875,25.000,36.500,b_plate,steel_sheet
2,2223605_MOLDBASE_ASM-1/2223605_A-PLATE_2-1,4.375,25.000,36.500,a_plate,steel_sheet
3,2223605_MOLDBASE_ASM-1/2223605_CLAMP-PLATE-1,1.375,25.000,36.500,bottom_clamp_plate,steel_sheet
4,2223605_MOLDBASE_ASM-1/2223605_EJ-BACKUP-PLATE-1,1.125,18.000,36.500,bottom_ejector_plate,steel_sheet
5,2223605_MOLDBASE_ASM-1/2223605_RAIL-TOP-1,3.375,4.500,36.500,rail,steel_sheet
6,2223605_MOLDBASE_ASM-1/2223605_RAIL-BOTTOM_2-1,3.000,4.500,36.500,rail,steel_sheet
7,2223605_MOLDBASE_ASM-1/2223605_EJ-RET-PLATE_2-1,0.625,18.000,36.500,ejector_plate,steel_sheet
8,2223605_MOLDBASE_ASM-1/LBB_2ID-X-5-7-8-1,2.677,2.677,5.875,,
9,2223605_MOLDBASE_ASM-1/LBB_2ID-X-5-7-8-4,2.677,2.677,5.875,,
10,2223605_MOLDBASE_ASM-1/LBB_2ID-X-5-7-8-3,2.677,2.677,5.875,,
11,2223605_MOLDBASE_ASM-1/LBB_2ID-X-5-7-8-2,2.677,2.677,5.875,,
12,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-1,3.000,3.000,4.500,,
13,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-3,3.000,3.000,4.500,,
14,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-4,3.000,3.000,4.500,,
15,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-13,3.000,3.000,4.500,,
16,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-14,3.000,3.000,4.500,,
17,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-5,3.000,3.000,4.500,,
18,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-7,3.000,3.000,4.500,,
19,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-10,3.000,3.000,4.500,,
20,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-15,3.000,3.000,4.500,,
21,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-16,3.000,3.000,4.500,,
22,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-8,3.000,3.000,4.500,,
23,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-9,3.000,3.000,4.500,,
24,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-11,3.000,3.000,4.500,,
25,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-12,3.000,3.000,4.500,,
26,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-2,3.000,3.000,4.500,,
27,2223605_MOLDBASE_ASM-1/PILLAR_D3-X-4-5_T_PCS-6,3.000,3.000,4.500,,
28,2223605_MOLDBASE_ASM-1/LDR-PIN_2OD-X-7-3-4_PCS-1,2.240,2.240,7.750,leader_pin,steel_sheet
29,2223605_MOLDBASE_ASM-1/LDR-PIN_2OD-X-7-3-4_PCS-2,2.240,2.240,7.750,leader_pin,steel_sheet
30,2223605_MOLDBASE_ASM-1/LDR-PIN_2OD-X-7-3-4_PCS-3,2.240,2.240,7.750,leader_pin,steel_sheet
31,2223605_MOLDBASE_ASM-1/LDR-PIN_2OD-X-7-3-4_PCS-4,2.240,2.240,7.750,leader_pin,steel_sheet
32,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-2,2.000,2.000,4.500,,
33,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-1,2.000,2.000,4.500,,
34,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-11,2.000,2.000,4.500,,
35,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-12,2.000,2.000,4.500,,
36,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-4,2.000,2.000,4.500,,
37,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-6,2.000,2.000,4.500,,
38,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-8,2.000,2.000,4.500,,
39,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-10,2.000,2.000,4.500,,
40,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-7,2.000,2.000,4.500,,
41,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-3,2.000,2.000,4.500,,
42,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-5,2.000,2.000,4.500,,
43,2223605_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_PCS-9,2.000,2.000,4.500,,
44,2223605_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-3,1.240,1.240,6.250,leader_pin,steel_sheet
45,2223605_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-2,1.240,1.240,6.250,leader_pin,steel_sheet
46,2223605_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-4,1.240,1.240,6.250,leader_pin,steel_sheet
47,2223605_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-1,1.240,1.240,6.250,leader_pin,steel_sheet
48,2223605_MOLDBASE_ASM-1/2223605_RETURN-PIN-1,1.000,1.000,9.067,,
49,2223605_MOLDBASE_ASM-1/2223605_RETURN-PIN-3,1.000,1.000,9.067,,
50,2223605_MOLDBASE_ASM-1/2223605_RETURN-PIN-4,1.000,1.000,9.067,,
51,2223605_MOLDBASE_ASM-1/2223605_RETURN-PIN-2,1.000,1.000,9.067,,
52,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-7000-3,0.938,0.938,7.625,,
53,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-7000-2,0.938,0.938,7.625,,
54,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-7000-4,0.938,0.938,7.625,,
55,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-7000-1,0.938,0.938,7.625,,
56,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-1,0.938,0.938,7.125,,
57,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-3,0.938,0.938,7.125,,
58,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-4,0.938,0.938,7.125,,
59,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-2,0.938,0.938,7.125,,
60,2223605_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-4,1.552,1.552,1.750,,
61,2223605_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-2,1.552,1.552,1.750,,
62,2223605_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-3,1.552,1.552,1.750,,
63,2223605_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-1,1.552,1.552,1.750,,
64,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-2/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
65,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-1/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
66,2223605_MOLD_ASM-1/2223605_SLIDE-01_ASM-2/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
67,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-1/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
68,2223605_MOLD_ASM-2/2223605_SLIDE-01_ASM-2/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
69,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-1/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
70,2223605_MOLD_ASM-3/2223605_SLIDE-01_ASM-2/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
71,2223605_MOLD_ASM-4/2223605_SLIDE-01_ASM-1/2223605_SLIDE-01-AP-RET-1,0.500,1.500,4.500,,
72,2223605_MOLDBASE_ASM-1/2223605_TIE-STRAP-1,0.500,1.500,4.500,,
73,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-12,0.938,0.938,2.125,,
74,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-13,0.938,0.938,2.125,,
75,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-11,0.938,0.938,2.125,,
76,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-16,0.938,0.938,2.125,,
77,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-14,0.938,0.938,2.125,,
78,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-3,0.938,0.938,2.125,,
79,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-2,0.938,0.938,2.125,,
80,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-5,0.938,0.938,2.125,,
81,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-8,0.938,0.938,2.125,,
82,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-1,0.938,0.938,2.125,,
83,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-15,0.938,0.938,2.125,,
84,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-4,0.938,0.938,2.125,,
85,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-6,0.938,0.938,2.125,,
86,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-9,0.938,0.938,2.125,,
87,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-7,0.938,0.938,2.125,,
88,2223605_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-1500-10,0.938,0.938,2.125,,
89,2223605_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-3,0.750,0.750,2.500,,
90,2223605_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-4,0.750,0.750,2.500,,
91,2223605_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-2,0.750,0.750,2.500,,
92,2223605_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-1,0.750,0.750,2.500,,
93,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-4,0.562,0.562,1.875,,
94,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-9,0.562,0.562,1.875,,
95,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-12,0.562,0.562,1.875,,
96,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-2,0.562,0.562,1.875,,
97,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-3,0.562,0.562,1.875,,
98,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-10,0.562,0.562,1.875,,
99,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-8,0.562,0.562,1.875,,
100,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-5,0.562,0.562,1.875,,
101,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-11,0.562,0.562,1.875,,
102,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-1,0.562,0.562,1.875,,
103,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-6,0.562,0.562,1.875,,
104,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1500-7,0.562,0.562,1.875,,
105,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-5,0.562,0.562,1.625,,
106,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-6,0.562,0.562,1.625,,
107,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-7,0.562,0.562,1.625,,
108,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-10,0.562,0.562,1.625,,
109,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-12,0.562,0.562,1.625,,
110,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-14,0.562,0.562,1.625,,
111,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-15,0.562,0.562,1.625,,
112,2223605_MOLDBASE_ASM-1/UNC-SHCS-3-8-X-1250-16,0.562,0.562,1.625,,
