epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4277,2.06724,28.3587,0.022,0.60514,0.1504,0.31836,0.20912,1.6679,24.8338,0.01953,8.33e-06,8.33e-06,8.33e-06
2,37.758,2.05589,28.2848,0.02202,0.58695,0.13827,0.32276,0.2135,1.62881,24.7617,0.01845,2.49075e-05,2.49075e-05,2.49075e-05
3,56.9838,2.01651,27.509,0.02104,0.58695,0.13827,0.32276,0.2135,1.62881,24.7617,0.01845,4.13751e-05,4.13751e-05,4.13751e-05
4,75.6016,2.01651,27.509,0.02104,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,5.77327e-05,5.77327e-05,5.77327e-05
5,94.8796,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,7.39804e-05,7.39804e-05,7.39804e-05
6,113.625,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,9.01181e-05,9.01181e-05,9.01181e-05
7,132.73,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,0.000106146,0.000106146,0.000106146
8,151.034,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,0.000122064,0.000122064,0.000122064
9,169.936,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,0.000137871,0.000137871,0.000137871
10,187.936,1.75845,25.8022,0.01912,0.49994,0.23264,0.37617,0.21368,1.63379,24.2418,0.01866,0.000153569,0.000153569,0.000153569
11,206.845,1.75845,25.8022,0.01912,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000169157,0.000169157,0.000169157
12,226.19,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000184635,0.000184635,0.000184635
13,244.24,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000200003,0.000200003,0.000200003
14,262.845,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000215261,0.000215261,0.000215261
15,281.865,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000230409,0.000230409,0.000230409
16,299.975,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000245448,0.000245448,0.000245448
17,319.19,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000260376,0.000260376,0.000260376
18,339.088,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000275194,0.000275194,0.000275194
19,357.23,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000289902,0.000289902,0.000289902
20,375.456,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000304501,0.000304501,0.000304501
21,394.34,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000318989,0.000318989,0.000318989
22,414.041,1.53398,24.0502,0.0166,0.50983,0.21875,0.40918,0.24275,1.64691,23.3488,0.01822,0.000333367,0.000333367,0.000333367
