epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24116,2.65579,7.55168,0.01682,0.73758,0.125,0.12437,0.03109,1.66335,5.06923,0.01453,0,0,0
2,10.6695,2.65579,7.55168,0.01682,0.73758,0.125,0.12437,0.03109,1.66335,5.06923,0.01453,8.28877e-06,8.28877e-06,8.28877e-06
3,16.5781,2.65579,7.55168,0.01682,0.73709,0.125,0.12652,0.03131,1.48031,5.09738,0.01286,1.64951e-05,1.64951e-05,1.64951e-05
4,23.3162,2.25496,6.46994,0.01056,0.73709,0.125,0.12652,0.03131,1.48031,5.09738,0.01286,2.46189e-05,2.46189e-05,2.46189e-05
5,30.7755,2.25496,6.46994,0.01056,0.73709,0.125,0.12652,0.03131,1.48031,5.09738,0.01286,3.26603e-05,3.26603e-05,3.26603e-05
6,35.6014,2.25496,6.46994,0.01056,0.73709,0.125,0.12652,0.03131,1.48031,5.09738,0.01286,4.06192e-05,4.06192e-05,4.06192e-05
7,41.5429,2.25496,6.46994,0.01056,0.73709,0.125,0.12652,0.03131,1.48031,5.09738,0.01286,4.84956e-05,4.84956e-05,4.84956e-05
8,47.0587,2.25496,6.46994,0.01056,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,5.62896e-05,5.62896e-05,5.62896e-05
9,52.0489,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,6.40011e-05,6.40011e-05,6.40011e-05
10,56.973,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,7.16301e-05,7.16301e-05,7.16301e-05
11,64.3358,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,7.91766e-05,7.91766e-05,7.91766e-05
12,69.7097,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,8.66407e-05,8.66407e-05,8.66407e-05
13,75.1396,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,9.40224e-05,9.40224e-05,9.40224e-05
14,81.442,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000101322,0.000101322,0.000101322
15,87.3935,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000108538,0.000108538,0.000108538
16,92.6055,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000115672,0.000115672,0.000115672
17,98.0354,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000122724,0.000122724,0.000122724
18,103.052,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000129694,0.000129694,0.000129694
19,108.423,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.00013658,0.00013658,0.00013658
20,113.765,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000143385,0.000143385,0.000143385
21,118.599,1.65275,5.87357,0.00849,0.7338,0.125,0.12783,0.04276,1.46081,5.04867,0.01332,0.000150107,0.000150107,0.000150107
22,123.887,1.65275,5.87357,0.00849,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000156746,0.000156746,0.000156746
23,129.182,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000163303,0.000163303,0.000163303
24,135.356,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000169777,0.000169777,0.000169777
25,139.987,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.00017617,0.00017617,0.00017617
26,145.553,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000182479,0.000182479,0.000182479
27,153.089,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000188706,0.000188706,0.000188706
28,158.735,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000194851,0.000194851,0.000194851
29,163.037,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000200913,0.000200913,0.000200913
30,167.206,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000206893,0.000206893,0.000206893
31,171.149,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.00021279,0.00021279,0.00021279
32,175.408,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000218605,0.000218605,0.000218605
33,179.596,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000224337,0.000224337,0.000224337
34,183.373,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000229987,0.000229987,0.000229987
35,187.2,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000235554,0.000235554,0.000235554
36,190.78,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000241039,0.000241039,0.000241039
37,194.742,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000246441,0.000246441,0.000246441
38,198.564,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000251761,0.000251761,0.000251761
39,202.084,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000256999,0.000256999,0.000256999
40,206.184,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000262154,0.000262154,0.000262154
41,210.088,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000267226,0.000267226,0.000267226
42,213.964,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000272216,0.000272216,0.000272216
43,217.652,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000277124,0.000277124,0.000277124
44,221.613,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000281949,0.000281949,0.000281949
45,225.54,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000286692,0.000286692,0.000286692
46,229.115,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000291352,0.000291352,0.000291352
47,232.716,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.00029593,0.00029593,0.00029593
48,236.682,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000300425,0.000300425,0.000300425
49,241.451,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000304838,0.000304838,0.000304838
50,245.32,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000309168,0.000309168,0.000309168
51,249.018,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000313416,0.000313416,0.000313416
52,252.702,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000317582,0.000317582,0.000317582
53,256.4,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000321665,0.000321665,0.000321665
54,259.914,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000325665,0.000325665,0.000325665
55,263.68,1.15876,5.26261,0.00543,0.48713,0.25,0.17124,0.0739,1.04487,5.05385,0.00665,0.000329583,0.000329583,0.000329583
