epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6373,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,0,0,0
2,27.9058,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,8.30251e-06,8.30251e-06,8.30251e-06
3,46.8624,2.2828,102.924,0.01656,0.00935,0.375,0.0329,0.01711,1.43319,46.8402,0.00948,1.655e-05,1.655e-05,1.655e-05
4,63.2492,1.99201,92.8526,0.01333,0.00935,0.375,0.0329,0.01711,1.43319,46.8402,0.00948,2.47426e-05,2.47426e-05,2.47426e-05
5,75.914,1.99201,92.8526,0.01333,0.00935,0.375,0.0329,0.01711,1.43319,46.8402,0.00948,3.28802e-05,3.28802e-05,3.28802e-05
6,89.783,1.99201,92.8526,0.01333,0.00935,0.375,0.0329,0.01711,1.43319,46.8402,0.00948,4.09628e-05,4.09628e-05,4.09628e-05
7,103.574,1.99201,92.8526,0.01333,0.00935,0.375,0.0329,0.01711,1.43319,46.8402,0.00948,4.89904e-05,4.89904e-05,4.89904e-05
8,117.419,1.99201,92.8526,0.01333,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,5.6963e-05,5.6963e-05,5.6963e-05
9,129.752,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,6.48807e-05,6.48807e-05,6.48807e-05
10,142.962,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,7.27434e-05,7.27434e-05,7.27434e-05
11,154.68,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,8.05511e-05,8.05511e-05,8.05511e-05
12,168.28,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,8.83038e-05,8.83038e-05,8.83038e-05
13,180.313,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,9.60016e-05,9.60016e-05,9.60016e-05
14,193.737,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000103644,0.000103644,0.000103644
15,205.932,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000111232,0.000111232,0.000111232
16,220.458,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000118765,0.000118765,0.000118765
17,232.158,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000126243,0.000126243,0.000126243
18,244.986,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000133666,0.000133666,0.000133666
19,258.041,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000141034,0.000141034,0.000141034
20,271.044,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000148346,0.000148346,0.000148346
21,285.349,1.54471,85.6015,0.00953,0.00513,0.25,0.01272,0.00528,1.72116,48.7833,0.01467,0.000155604,0.000155604,0.000155604
22,299.445,1.54471,85.6015,0.00953,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000162807,0.000162807,0.000162807
23,311.444,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000169955,0.000169955,0.000169955
24,326.574,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000177048,0.000177048,0.000177048
25,339.54,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000184086,0.000184086,0.000184086
26,352.359,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000191069,0.000191069,0.000191069
27,363.845,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000197997,0.000197997,0.000197997
28,373.339,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000204871,0.000204871,0.000204871
29,383.088,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000211689,0.000211689,0.000211689
30,392.338,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000218452,0.000218452,0.000218452
31,402.271,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.00022516,0.00022516,0.00022516
32,411.773,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000231813,0.000231813,0.000231813
33,421.165,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000238411,0.000238411,0.000238411
34,430.594,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000244954,0.000244954,0.000244954
35,440.358,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000251443,0.000251443,0.000251443
36,450.04,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000257876,0.000257876,0.000257876
37,460.325,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000264254,0.000264254,0.000264254
38,469.202,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000270578,0.000270578,0.000270578
39,478.259,1.68652,85.4668,0.01398,0.02161,0.25,0.06633,0.02405,1.79551,47.3423,0.01633,0.000276846,0.000276846,0.000276846
