epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88928,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,0,0,0
2,19.1292,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,8.32175e-06,8.32175e-06,8.32175e-06
3,29.0231,2.2828,102.924,0.01656,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,1.6627e-05,1.6627e-05,1.6627e-05
4,38.4332,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,2.49158e-05,2.49158e-05,2.49158e-05
5,48.642,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,3.31881e-05,3.31881e-05,3.31881e-05
6,58.1636,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,4.14438e-05,4.14438e-05,4.14438e-05
7,67.6829,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,4.96831e-05,4.96831e-05,4.96831e-05
8,77.822,1.99794,92.9189,0.01336,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,5.79059e-05,5.79059e-05,5.79059e-05
9,88.0731,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,6.61122e-05,6.61122e-05,6.61122e-05
10,97.8275,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,7.4302e-05,7.4302e-05,7.4302e-05
11,107.795,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,8.24753e-05,8.24753e-05,8.24753e-05
12,117.483,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,9.06321e-05,9.06321e-05,9.06321e-05
13,127.223,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,9.87725e-05,9.87725e-05,9.87725e-05
14,137.096,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000106896,0.000106896,0.000106896
15,146.931,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000115004,0.000115004,0.000115004
16,156.642,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000123094,0.000123094,0.000123094
17,166.681,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000131169,0.000131169,0.000131169
18,176.083,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000139227,0.000139227,0.000139227
19,185.56,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000147268,0.000147268,0.000147268
20,194.586,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000155293,0.000155293,0.000155293
21,205.71,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,0.000163301,0.000163301,0.000163301
22,215.453,1.53348,85.6758,0.00994,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000171293,0.000171293,0.000171293
23,225.543,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000179269,0.000179269,0.000179269
24,238.152,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000187227,0.000187227,0.000187227
25,247.628,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.00019517,0.00019517,0.00019517
26,257.111,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000203096,0.000203096,0.000203096
27,267.429,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000211005,0.000211005,0.000211005
28,277.331,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000218898,0.000218898,0.000218898
29,289.051,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000226775,0.000226775,0.000226775
30,302.438,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000234635,0.000234635,0.000234635
31,314.532,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000242478,0.000242478,0.000242478
32,327.35,1.53127,83.1838,0.01045,0.06897,0.3125,0.10646,0.04192,1.72728,47.0204,0.01549,0.000250305,0.000250305,0.000250305
