epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92831,3.01518,5.45718,0.01591,0,0,0,0,2.67442,7.18872,0.02996,0,0,0
2,7.03526,2.38882,5.71622,0.01401,0,0,0,0,2.67442,7.18872,0.02996,3.53466e-06,3.53466e-06,3.53466e-06
3,11.6691,3.20172,5.95397,0.01507,0,0,0,0,2.62657,6.91753,0.02745,6.99863e-06,6.99863e-06,6.99863e-06
4,15.7362,2.20863,4.95712,0.00873,0,0,0,0,2.62657,6.91753,0.02745,1.03919e-05,1.03919e-05,1.03919e-05
5,19.8763,2.643,5.179,0.0195,0,0,0,0,2.62657,6.91753,0.02745,1.37145e-05,1.37145e-05,1.37145e-05
6,23.87,3.031,5.94902,0.01245,0,0,0,0,2.62657,6.91753,0.02745,1.69664e-05,1.69664e-05,1.69664e-05
7,28.3008,2.87482,6.08691,0.01019,0,0,0,0,2.62657,6.91753,0.02745,2.01477e-05,2.01477e-05,2.01477e-05
8,32.2203,3.06159,5.79159,0.01187,0,0,0,0,2.47421,6.47884,0.02449,2.32582e-05,2.32582e-05,2.32582e-05
9,35.8872,3.07277,5.83457,0.0128,0,0,0,0,2.47421,6.47884,0.02449,2.6298e-05,2.6298e-05,2.6298e-05
10,39.3748,2.53434,5.09191,0.01902,0,0,0,0,2.47421,6.47884,0.02449,2.92672e-05,2.92672e-05,2.92672e-05
11,43.0697,2.04723,5.23005,0.00967,0,0,0,0,2.47421,6.47884,0.02449,3.21657e-05,3.21657e-05,3.21657e-05
12,46.6876,2.89709,5.78512,0.01743,0,0,0,0,2.47421,6.47884,0.02449,3.49935e-05,3.49935e-05,3.49935e-05
13,50.3685,2.54099,5.14299,0.02758,0,0,0,0,2.47421,6.47884,0.02449,3.77506e-05,3.77506e-05,3.77506e-05
14,54.3023,2.70236,4.93237,0.01915,0,0,0,0,2.47421,6.47884,0.02449,4.0437e-05,4.0437e-05,4.0437e-05
15,57.9343,2.25415,5.0373,0.01359,0,0,0,0,2.47421,6.47884,0.02449,4.30528e-05,4.30528e-05,4.30528e-05
16,61.572,2.59345,5.1958,0.01477,0,0,0,0,2.47421,6.47884,0.02449,4.55978e-05,4.55978e-05,4.55978e-05
17,65.9231,2.53531,5.35527,0.01456,0,0,0,0,2.47421,6.47884,0.02449,4.80722e-05,4.80722e-05,4.80722e-05
18,70.0477,1.819,5.06988,0.01609,0,0,0,0,2.47421,6.47884,0.02449,5.04759e-05,5.04759e-05,5.04759e-05
19,73.5898,2.14148,6.10668,0.01167,0,0,0,0,2.47421,6.47884,0.02449,5.28089e-05,5.28089e-05,5.28089e-05
20,77.1839,2.18437,4.6267,0.01093,0,0,0,0,2.47421,6.47884,0.02449,5.50712e-05,5.50712e-05,5.50712e-05
21,80.8841,2.41021,6.03211,0.00934,0,0,0,0,2.47421,6.47884,0.02449,5.72628e-05,5.72628e-05,5.72628e-05
22,84.8678,2.97262,6.00449,0.01129,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,5.93837e-05,5.93837e-05,5.93837e-05
23,88.4923,2.01529,4.38635,0.01724,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,6.1434e-05,6.1434e-05,6.1434e-05
24,92.2519,2.15107,4.75895,0.01114,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,6.34136e-05,6.34136e-05,6.34136e-05
25,96.3713,2.28625,4.4575,0.01687,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,6.53224e-05,6.53224e-05,6.53224e-05
26,100.774,3.09519,5.75709,0.01351,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,6.71606e-05,6.71606e-05,6.71606e-05
27,105.301,1.88576,4.83979,0.01329,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,6.89281e-05,6.89281e-05,6.89281e-05
28,109.534,1.4219,4.78592,0.00645,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.0625e-05,7.0625e-05,7.0625e-05
29,113.811,2.51164,5.11122,0.01452,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.22511e-05,7.22511e-05,7.22511e-05
30,117.929,2.14115,4.71154,0.01599,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.38065e-05,7.38065e-05,7.38065e-05
31,122.309,2.0586,4.7117,0.01299,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.52913e-05,7.52913e-05,7.52913e-05
32,126.194,2.78366,5.33839,0.01606,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.67054e-05,7.67054e-05,7.67054e-05
33,129.741,1.64595,4.9883,0.01461,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.80488e-05,7.80488e-05,7.80488e-05
34,133.575,2.11565,5.22569,0.00934,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,7.93215e-05,7.93215e-05,7.93215e-05
35,137.268,2.51283,4.51576,0.02331,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,8.05235e-05,8.05235e-05,8.05235e-05
36,140.99,2.07395,4.362,0.01026,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,8.16548e-05,8.16548e-05,8.16548e-05
37,144.741,2.30089,5.11056,0.01447,0.00205,0.125,0.00497,0.0005,2.65161,5.50541,0.02594,8.27155e-05,8.27155e-05,8.27155e-05
