Index,Component,Thickness,Width,Length,BBoxVolume_cuin,CenterX,CenterY,CenterZ
1,T001015_MOLDBASE_ASM-1/T001015_A-PLATE-1,5.875,15.500,17.000,,2.941,0.000,0.000
2,T001015_MOLDBASE_ASM-1/T001015_B-PLATE-1,3.875,15.500,17.000,,-1.942,0.000,0.000
3,T001015_MOLDBASE_ASM-1/T001015_SC-BACKUP-PLATE-1,2.000,15.500,17.000,,-5.879,0.000,0.000
4,T001015_MOLDBASE_ASM-1/T001015_CLAMP-PLATE-1,1.375,15.500,17.000,,-12.067,0.000,0.000
5,T001015_MOLDBASE_ASM-1/T001015_SC-RETAINER-PLATE-1,1.000,15.500,17.000,,-4.379,0.000,0.000
6,T001015_MOLDBASE_ASM-1/T001015_EJ-BACKUP-PLATE-1,1.125,11.500,15.500,,-10.629,0.000,0.000
7,T001015_MOLDBASE_ASM-1/T001015_RAIL-BOTTOM-1,2.625,4.500,15.500,,-9.129,-7.188,0.000
8,T001015_MOLDBASE_ASM-1/T001015_RAIL-TOP-1,2.625,4.500,15.500,,-9.129,7.188,0.000
9,T001015_MOLDBASE_ASM-1/T001015_EJ-RET-PLATE-1,0.750,11.500,15.500,,-9.692,0.000,0.000
10,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-1,1.740,1.740,9.750,,-2.004,6.000,-5.500
11,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-2,1.740,1.740,9.750,,-2.004,-6.000,-5.500
12,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-4,1.740,1.740,9.750,,-2.004,6.125,5.750
13,T001015_MOLDBASE_ASM-1/LDR-PIN_1-1-2OD-X-9-3-4_DME-3,1.740,1.740,9.750,,-2.004,-6.000,5.500
14,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-4,2.177,2.177,5.875,,2.941,6.125,5.750
15,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-3,2.177,2.177,5.875,,2.941,-6.000,5.500
16,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-2,2.177,2.177,5.875,,2.941,-6.000,-5.500
17,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-5_7-8_DME-1,2.177,2.177,5.875,,2.941,6.000,-5.500
18,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-4,2.177,2.177,3.875,,-1.941,6.125,5.750
19,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-1,2.177,2.177,3.875,,-1.941,6.000,-5.500
20,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-2,2.177,2.177,3.875,,-1.941,-6.000,-5.500
21,T001015_MOLDBASE_ASM-1/LBB_1-1-2ID-X-3_7-8_DME-3,2.177,2.177,3.875,,-1.941,-6.000,5.500
22,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-1,2.000,2.000,4.500,,-9.129,0.000,-4.000
23,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-4,2.000,2.000,4.500,,-9.129,-1.125,0.000
24,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-2,2.000,2.000,4.500,,-9.129,0.000,4.000
25,T001015_MOLDBASE_ASM-1/PILLAR_D2-X-4-5_T_DME-3,2.000,2.000,4.500,,-9.129,2.500,0.000
26,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-2,1.000,1.000,10.067,,-5.033,4.000,-4.250
27,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-3,1.000,1.000,10.067,,-5.033,-4.000,4.250
28,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-1,1.000,1.000,10.067,,-5.033,4.250,4.375
29,T001015_MOLDBASE_ASM-1/T001015_RETURN-PIN-4,1.000,1.000,10.067,,-5.033,-4.000,-4.250
30,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-3,1.240,1.240,6.250,,-9.613,2.500,4.375
31,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-4,1.240,1.240,6.250,,-9.613,2.500,-4.250
32,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-2,1.240,1.240,6.250,,-9.613,-2.500,4.250
33,T001015_MOLDBASE_ASM-1/EJ_LDR_PIN_D-1-X-6-25_PCS-1,1.240,1.240,6.250,,-9.613,-2.500,-4.250
34,T001015_MOLDBASE_ASM-1/91259A230-2,1.000,1.000,8.375,,-7.004,4.000,3.000
35,T001015_MOLDBASE_ASM-1/91259A230-3,1.000,1.000,8.375,,-7.004,-4.000,3.000
36,T001015_MOLDBASE_ASM-1/91259A230-1,1.000,1.000,8.375,,-7.004,4.000,-3.000
37,T001015_MOLDBASE_ASM-1/91259A230-4,1.000,1.000,8.375,,-7.004,-4.000,-3.000
38,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-2,0.938,0.938,7.125,,-9.129,-6.875,-4.000
39,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-4,0.938,0.938,7.125,,-9.129,-6.875,-7.000
40,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-3,0.938,0.938,7.125,,-9.129,-6.875,7.000
41,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-6,0.938,0.938,7.125,,-9.129,-6.875,0.000
42,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-4,0.938,0.938,7.125,,-9.129,6.875,4.000
43,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-1,0.938,0.938,7.125,,-9.129,6.875,-7.000
44,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-5,0.938,0.938,7.125,,-9.129,6.875,0.000
45,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-2,0.938,0.938,7.125,,-9.129,6.875,7.000
46,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-1,0.938,0.938,7.125,,-9.129,-6.875,4.000
47,T001015_MOLDBASE_ASM-1/UNC-SHCS-5-8-X-6500-BOX-3,0.938,0.938,7.125,,-9.129,6.875,-4.000
48,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,0.750,1.500,4.250,,-2.984,-2.250,-8.500
49,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,0.750,1.500,4.250,,-2.984,2.250,-8.500
50,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,0.750,1.500,4.250,,-2.984,2.250,8.500
51,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-GB-1,0.750,1.500,4.250,,-2.984,-2.250,8.500
52,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-2,1.552,1.552,1.750,,-10.311,2.500,4.375
53,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-4,1.552,1.552,1.750,,-10.311,-2.500,-4.250
54,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-3,1.552,1.552,1.750,,-10.311,-2.500,4.250
55,T001015_MOLDBASE_ASM-1/GEB_1ID-X-1-3-8OD_DME-1,1.552,1.552,1.750,,-10.311,2.500,-4.250
56,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,0.750,0.750,7.000,,-7.609,-2.250,-8.155
57,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,0.750,0.750,7.000,,-7.609,2.250,8.155
58,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,0.750,0.750,7.000,,-7.609,2.250,-8.155
59,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-S_KIT_ASM-1/T001015_PLC75-S-02-1,0.750,0.750,7.000,,-7.609,-2.250,8.155
60,PROGRESSIVE-SAFETY-STRAP_ASM-1/PROGRESSIVE-SAFTEY-STRAP-1,0.750,1.370,3.370,,0.000,8.875,-5.875
61,PROGRESSIVE-SAFETY-STRAP_ASM-2/PROGRESSIVE-SAFTEY-STRAP-1,0.750,1.370,3.370,,-4.379,8.875,-5.875
62,T001015_MOLDBASE_ASM-1/91259A804-2,0.875,0.875,3.625,,-4.942,-4.000,5.500
63,T001015_MOLDBASE_ASM-1/91259A804-1,0.875,0.875,3.625,,-4.942,4.000,5.500
64,T001015_MOLDBASE_ASM-1/91259A804-3,0.875,0.875,3.625,,-4.942,-4.000,-5.500
65,T001015_MOLDBASE_ASM-1/91259A804-4,0.875,0.875,3.625,,-4.942,4.000,-5.500
66,WP_375_5-000-5,0.675,0.675,5.000,,3.500,0.500,6.927
67,WP_375_5-000-2,0.675,0.675,5.000,,-1.000,0.000,6.927
68,WP_375_5-000-1,0.675,0.675,5.000,,-1.000,-2.250,6.927
69,WP_375_5-000-6,0.675,0.675,5.000,,0.750,-1.375,6.927
70,WP_375_5-000-3,0.675,0.675,5.000,,0.750,2.375,-6.939
71,WP_375_5-000-4,0.675,0.675,5.000,,1.710,0.500,-6.927
72,T001015_MOLDBASE_ASM-1/HKO_L1_9-16_TAP_3-4-10-1,0.875,1.010,2.422,,-11.533,5.118,0.000
73,T001015_MOLDBASE_ASM-1/HKO_L1_9-16_TAP_3-4-10-2,0.875,1.010,2.422,,-11.533,-5.118,0.000
74,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,0.500,0.750,5.675,,-4.015,-2.905,-8.125
75,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,0.500,0.750,5.675,,-4.015,1.595,-8.125
76,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,0.500,0.750,5.675,,-4.015,2.905,8.125
77,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,0.500,0.750,5.675,,-4.015,1.595,8.125
78,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,0.500,0.750,5.675,,-4.015,2.905,-8.125
79,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,0.500,0.750,5.675,,-4.015,-1.595,-8.125
80,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-1,0.500,0.750,5.675,,-4.015,-1.595,8.125
81,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-CB7-2,0.500,0.750,5.675,,-4.015,-2.905,8.125
82,T0010115_LATCH-LOCK_ASM-1/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,0.750,0.900,3.000,,-3.234,2.250,7.300
83,T0010115_LATCH-LOCK_ASM-2/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,0.750,0.900,3.000,,-3.234,2.250,-7.300
84,T0010115_LATCH-LOCK_ASM-3/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,0.750,0.900,3.000,,-3.234,-2.250,7.300
85,T0010115_LATCH-LOCK_ASM-4/T001015_PLC75-7-GBA_ASM-1/T001015_PLC75-WBA_ASM-1/T001015_PLC75-TG-1,0.750,0.900,3.000,,-3.234,-2.250,-7.300
86,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-4,0.750,0.750,2.750,,-2.441,2.850,3.000
87,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-2,0.750,0.750,2.750,,-2.441,-2.525,-4.375
88,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-1,0.750,0.750,2.750,,-2.441,2.850,-3.000
89,T001015_INSERT-ASSEMBLY_ASM-1/UNC-SHCS-1-2-X-2250-3,0.750,0.750,2.750,,-2.441,-1.150,4.375
90,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-2,0.750,0.750,2.500,,-11.441,6.875,2.000
91,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-3,0.750,0.750,2.500,,-11.441,-6.875,2.000
92,T001015_MOLDBASE_ASM-1/UNC-SHCS-1-2-X-2000-4,0.750,0.750,2.500,,-11.441,-6.875,-2.000
